RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:xdata] XDATA first op=W addr=030b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=030c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=030d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=030e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=030f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0310 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0311 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0312 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0313 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0314 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0315 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0316 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0317 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0318 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0319 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=031a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=031b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=031c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=031d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=031e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=031f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0320 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0321 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0322 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0323 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0324 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0325 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0326 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0327 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0328 pc=8faf value=00 class=retained-xram-approx unknown=0
