Warning: -video none doesn't make much sense without -seconds_to_run
[:xdata] XEV seq=205 op=W addr=0346 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=206 op=W addr=0347 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=207 op=W addr=0348 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=208 op=W addr=0349 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=209 op=W addr=034a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=210 op=W addr=034b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=211 op=W addr=034c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=212 op=W addr=034d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=213 op=W addr=034e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=214 op=W addr=034f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=215 op=W addr=0350 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=216 op=W addr=0351 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=217 op=W addr=0352 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=218 op=W addr=0353 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=219 op=W addr=0354 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=220 op=W addr=0355 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=221 op=W addr=0356 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=222 op=W addr=0357 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=223 op=W addr=0358 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=224 op=W addr=0359 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=225 op=W addr=035a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=226 op=W addr=035b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=227 op=W addr=035c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=228 op=W addr=035d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=229 op=W addr=035e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=230 op=W addr=035f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=231 op=W addr=0360 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=232 op=W addr=0361 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=233 op=W addr=0362 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=234 op=W addr=0363 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=235 op=W addr=0364 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=236 op=W addr=0365 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=237 op=W addr=0366 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=238 op=W addr=0367 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=239 op=W addr=0368 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=240 op=W addr=0369 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=241 op=W addr=036a pc=8faf value=00 class=storage taint=0
